,pairid,res,prompt,value,model
19,10,2,Does changing its shucked weight cause a change in its age? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65nDgvRZGrRNseq211CJKTbQEmw', 'object': 'text_completion', 'created': 1694795783, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 24, 'completion_tokens': 3, 'total_tokens': 27}}",text-ada-001
20,11,1,Does changing the age of an abalone cause a change in the viscera weight of an abalone? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65n2MBRlF6VAN4M7XZqYMBgdIyP', 'object': 'text_completion', 'created': 1694795783, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 33, 'completion_tokens': 3, 'total_tokens': 36}}",text-ada-001
21,11,2,Does changing its viscera weight cause a change in its age? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65oW9JdxkiaqvseXwDvwYImRpYO', 'object': 'text_completion', 'created': 1694795784, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 25, 'completion_tokens': 3, 'total_tokens': 28}}",text-ada-001
22,12,1,Does changing the age of a person cause a change in the wage per hour of a person? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65o7D841jpitvZC06vgYfMbTEPP', 'object': 'text_completion', 'created': 1694795784, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 30, 'completion_tokens': 3, 'total_tokens': 33}}",text-ada-001
23,12,2,Does changing their wage per hour cause a change in their age? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65o2sE6MUJOw06TtSCEVd85NVP6', 'object': 'text_completion', 'created': 1694795784, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 24, 'completion_tokens': 3, 'total_tokens': 27}}",text-ada-001
24,13,1,Does changing the displacement of a car cause a change in the fuel consumption of a car? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65oxAU3DFInLIZ09fR5oOEEBM2X', 'object': 'text_completion', 'created': 1694795784, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 29, 'completion_tokens': 3, 'total_tokens': 32}}",text-ada-001
25,13,2,Does changing its fuel consumption cause a change in its displacement? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65oYZyd71ylipTfbpUdt5FTqafR', 'object': 'text_completion', 'created': 1694795784, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 23, 'completion_tokens': 3, 'total_tokens': 26}}",text-ada-001
26,14,1,Does changing the horse power of a car cause a change in the fuel consumption of a car? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65oNBsLNp62atmTxeFNTW7vCuDA', 'object': 'text_completion', 'created': 1694795784, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 30, 'completion_tokens': 3, 'total_tokens': 33}}",text-ada-001
27,14,2,Does changing its fuel consumption cause a change in its horse power? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65pPurQSO9GZLO2nZkofr7oLPM5', 'object': 'text_completion', 'created': 1694795785, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 24, 'completion_tokens': 3, 'total_tokens': 27}}",text-ada-001
28,15,1,Does changing the weight of a car cause a change in the fuel consumption of a car? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65pUM1TRCPIarj4uvAEA1SgCFNK', 'object': 'text_completion', 'created': 1694795785, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 29, 'completion_tokens': 3, 'total_tokens': 32}}",text-ada-001
29,15,2,Does changing its fuel consumption cause a change in its weight? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65pqCQW6ZjMlrv48nH86dVEnkle', 'object': 'text_completion', 'created': 1694795785, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 23, 'completion_tokens': 3, 'total_tokens': 26}}",text-ada-001
30,16,1,Does changing the horse power of a car cause a change in the acceleration of a car? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65pZbvXA7gfuMUHrZ2ZvW5ZBsJD', 'object': 'text_completion', 'created': 1694795785, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 29, 'completion_tokens': 3, 'total_tokens': 32}}",text-ada-001
31,16,2,Does changing its acceleration cause a change in its horse power? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65pGu7YdpxcXCCYq27etPz2RfXf', 'object': 'text_completion', 'created': 1694795785, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 23, 'completion_tokens': 3, 'total_tokens': 26}}",text-ada-001
32,17,1,Does changing the age of a person cause a change in the dividends from stocks of a person? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65pmyCO8MZ94NniaKCsmpEMJhFt', 'object': 'text_completion', 'created': 1694795785, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 30, 'completion_tokens': 3, 'total_tokens': 33}}",text-ada-001
33,17,2,Does changing their dividends from stocks cause a change in their age? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65p48js6mRULhbY8vcWh5qzeAmz', 'object': 'text_completion', 'created': 1694795785, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 24, 'completion_tokens': 3, 'total_tokens': 27}}",text-ada-001
34,18,1,Does changing the age of a person cause a change in the concentration GAG of a person? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65qnxL70jxnxVwwFEWYUMtcadLL', 'object': 'text_completion', 'created': 1694795786, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 30, 'completion_tokens': 3, 'total_tokens': 33}}",text-ada-001
35,18,2,Does changing their concentration GAG cause a change in their age? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65qIVzVl5KNGGVy5xN2ZgntUqij', 'object': 'text_completion', 'created': 1694795786, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 24, 'completion_tokens': 3, 'total_tokens': 27}}",text-ada-001
36,19,1,Does changing the duration of eruption of a geyser cause a change in the time interval before the next eruption of a geyser? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65qmOcKWd6v0tgGeTDhDtra5uB1', 'object': 'text_completion', 'created': 1694795786, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 39, 'completion_tokens': 3, 'total_tokens': 42}}",text-ada-001
37,19,2,Does changing the time interval before the next eruption cause a change in its duration of eruption? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65qRF4A797MINKv0Fk23oCalPzo', 'object': 'text_completion', 'created': 1694795786, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 29, 'completion_tokens': 3, 'total_tokens': 32}}",text-ada-001
38,20,1,Does changing the latitude cause a change in the temperature? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65qs4FVKdgQAXwKNdyIVtMIK0RT', 'object': 'text_completion', 'created': 1694795786, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 22, 'completion_tokens': 3, 'total_tokens': 25}}",text-ada-001
39,20,2,Does changing temperature cause a change in latitude? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65qapCFd4gDBQ1IpIajiXjFl4Of', 'object': 'text_completion', 'created': 1694795786, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 20, 'completion_tokens': 3, 'total_tokens': 23}}",text-ada-001
40,21,1,Does changing the longitude cause a change in the precipitation? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65rlQxuokDHb7EY7FbmX5z3RRwF', 'object': 'text_completion', 'created': 1694795787, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 23, 'completion_tokens': 3, 'total_tokens': 26}}",text-ada-001
41,21,2,Does changing precipitation cause a change in longitude? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65r2grRQOFuekGakc7D2MYQhme5', 'object': 'text_completion', 'created': 1694795787, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 21, 'completion_tokens': 3, 'total_tokens': 24}}",text-ada-001
42,22,1,Does changing the age of a person cause a change in the height of a person? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65rDZ7RJ5Mice03LB8ZuJui8Jwm', 'object': 'text_completion', 'created': 1694795787, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 28, 'completion_tokens': 3, 'total_tokens': 31}}",text-ada-001
43,22,2,Does changing their height cause a change in their age? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65rY09JlNi7Wg6Gk1PK1LiJoScb', 'object': 'text_completion', 'created': 1694795787, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 22, 'completion_tokens': 3, 'total_tokens': 25}}",text-ada-001
44,23,1,Does changing the age of a person cause a change in the weight of a person? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65re4Cr80rX89tDKG45EbladjR8', 'object': 'text_completion', 'created': 1694795787, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 28, 'completion_tokens': 3, 'total_tokens': 31}}",text-ada-001
45,23,2,Does changing their weight cause a change in their age? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65r8ygkMEZkf9ZABT2uiDkpi8KW', 'object': 'text_completion', 'created': 1694795787, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 22, 'completion_tokens': 3, 'total_tokens': 25}}",text-ada-001
46,24,1,Does changing the age of a person cause a change in the heart rate of a person? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65s92Z7wouh8Uxg9J2nQ3dI4kvo', 'object': 'text_completion', 'created': 1694795788, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 29, 'completion_tokens': 3, 'total_tokens': 32}}",text-ada-001
47,24,2,Does changing their heart rate cause a change in their age? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65sacUi8uSIm7FKX8AkTJXuGjFR', 'object': 'text_completion', 'created': 1694795788, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 23, 'completion_tokens': 3, 'total_tokens': 26}}",text-ada-001
48,25,1,Does changing the amount of cement in concrete cause a change in the compressive strength of concrete? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65sVLi0pjllYEoBQEJbHgMHSTLb', 'object': 'text_completion', 'created': 1694795788, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 30, 'completion_tokens': 3, 'total_tokens': 33}}",text-ada-001
49,25,2,Does changing its compressive strength cause a change in the amount of cement it contains? Please answer in a single word: Yes or No.,"{'warning': 'This model version is deprecated. Migrate before January 4, 2024 to avoid disruption of service. Learn more https://platform.openai.com/docs/deprecations', 'id': 'cmpl-7z65sVXjXsTswlrRH417nr5lWoatD', 'object': 'text_completion', 'created': 1694795788, 'model': 'text-ada-001', 'choices': [{'text': '\n\nYes', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 28, 'completion_tokens': 3, 'total_tokens': 31}}",text-ada-001
